ISO,Impact_Y
ABW,0.5499695617695364
AGO,0.38157749479503383
AIA,1.652302409584173
ALA,-0.0614416161559026
ALB,1.3850375402379043
ARE,55.088803250115035
ARG,50.81064805296842
ASM,-0.04103337726930183
ATG,12.457010756442806
AUS,1892.3114134084938
BEL,1395.9240067388744
BEN,0.3366778699190054
BES,-0.04095699826143223
BGD,1.5828043383621335
BGR,48.06198980462885
BHR,2.196316845635748
BHS,18.08300172481799
BIH,7.889341381456835
BLM,-0.032816712908724
BLZ,2.5490090543132435
BMU,54.39794867741223
BRA,509.08488487213737
BRB,95.5365293217663
BRN,1.3659668417381852
CAN,3053.5598751188086
CCK,-0.09460411855532236
CHL,98.26254093373237
CHN,21448.65720250934
CIV,1.139454878334331
CMR,2.075124101317978
COD,0.29205368534222254
COG,0.5080147993248686
COK,0.8808519425919125
COL,64.67592854250071
COM,0.015705417733696443
CPV,-0.022208987155541496
CRI,9.385720824705041
CUB,11.184372186209096
CUW,3.7623855445728043
CXR,-8.553980278065004e-05
CYM,288.33254211130486
CYP,47.66337479008686
DEU,18725.03659031643
DJI,-0.016910780900546176
DMA,0.37226096529515457
DNK,1334.4825809495906
DOM,4.161321220841553
DZA,7.492522388400841
ECU,11.166026498011272
EGY,42.58352920051021
ERI,-0.05344976030783699
ESH,-0.03495311577792215
ESP,1465.9664341830614
EST,36.329026630162964
FIN,1843.23828515191
FJI,0.268042449745391
FRA,8121.747759941762
FRO,1.488460927041164
FSM,-0.03352939699410341
GAB,0.47034565691090613
GBR,6821.061849966042
GEO,8.958678309313237
GGY,0.5614604001336283
GHA,1.362001493955729
GIB,4.473529646915551
GIN,0.1576262928165772
GLP,0.019738184520564687
GMB,0.1131022046313244
GNB,-0.020470059924434524
GNQ,0.06857811644607144
GRC,108.86039992013606
GRD,0.062395586034958386
GRL,-0.014272903135160678
GTM,1.8455351960662436
GUF,-0.028808401450956603
GUM,0.37849585429547977
GUY,0.07999582063403315
HND,0.1983524028505817
HRV,56.06744369005604
HTI,0.0411273256517425
IDN,17.13426368319225
IMN,1.1647669056301793
IND,1512.3829845980536
IRL,507.32535627687923
IRN,43.61525597033231
IRQ,1.042091318045061
ISL,47.7141808444716
ISR,1754.792360895117
ITA,3199.0894506998675
JAM,1.1607645844636172
JEY,2.2530425002783923
JOR,7.123032798060518
JPN,33623.76430959066
KEN,6.585818643811216
KHM,0.42404705008617705
KIR,-0.05344976030783699
KNA,1.7027280907087752
KOR,9929.69928766135
KWT,3.1285759256128407
LBN,7.449912433449834
LBR,0.3802467337428423
LBY,0.731083995724545
LCA,0.327994482543698
LKA,12.088973739000531
LTU,25.91816709386407
LVA,26.469247680037682
MAF,-0.03689710409684031
MAR,29.547101857976568
MCO,26.098849332364917
MDG,0.9905190350926405
MDV,0.021045659022530586
MEX,210.0836064056199
MHL,0.2894508986619755
MLT,35.419964567743705
MMR,0.25012170390304905
MNE,1.2493313502427514
MNP,0.060201301761458964
MOZ,0.1076999444978183
MRT,0.02405402826081846
MSR,0.016075219890021017
MTQ,-0.02259856835311034
MUS,6.584997732982193
MYS,195.82906642731854
MYT,-0.054178035613853946
NAM,1.71776809675433
NCL,0.3581442438444101
NGA,1.941360350963738
NIC,0.3752410085463819
NIU,0.025919241413770458
NLD,4780.751367096871
NOR,707.8008640411023
NZL,333.61601306337866
OMN,3.9150465544730166
PAK,4.18049018267714
PAN,32.693226296264804
PER,13.858333875245908
PHL,29.764013795922892
PLW,-0.034939432791117137
PNG,0.09072327264559654
POL,263.2714434737222
PRI,51.22468104505514
PRK,2.7038922422736813
PRT,145.25052409321725
PYF,0.16370654634404536
QAT,13.934537864372393
REU,0.44684927854573625
ROU,41.61264660691432
RUS,883.6788411583808
SAU,249.71920967334293
SDN,2.874622520734916
SEN,1.5401517570617114
SGP,842.1251221559262
SHN,-0.09460411855532236
SJM,-0.07017412074261195
SLB,-0.04971181496085265
SLE,0.3802467337428423
SLV,0.8519461211368405
SOM,0.01665564410487354
SPM,-0.06997022556988541
STP,-0.020470059924434524
SUR,0.028341931047602006
SVN,106.08364015995686
SWE,3631.1086944837107
SXM,0.01915787342775004
SYC,5.908183995338258
SYR,3.605104373526645
TCA,1.5730315643771018
TGO,0.022415659416362893
THA,82.04829260770546
TKL,-0.09460411855532236
TLS,-0.09460411855532236
TON,0.014549343756524558
TTO,3.043609232085116
TUN,9.037197303468831
TUR,694.2072697936999
TUV,-0.05344976030783699
TZA,0.7281764748672622
UKR,128.47912269311036
URY,9.850441935472361
USA,53293.38737047782
VCT,0.770659310058264
VEN,5.948733629520628
VGB,240.0753492148776
VIR,1.8526871811656351
VNM,16.995801626412025
VUT,0.5831332699988173
WLF,-0.05942326801362472
WSM,1.858783859040201
YEM,0.20454308908770708
ZAF,367.9671851528168
