Collaborate,coef,t-value
ABW,-0.07620370702226922,-1.111774358532744
AGO,0.11077905475065751,1.8791655569356798
AIA,0.010276660626660406,0.10439166080696557
ALB,-0.12952979823544858,-1.8829309447941167
ARE,2.125885550688792,2.125763659382586
ARG,6.889403386511432,3.1767995100339133
ASM,0.01145373243558788,0.9614756766278156
ATF,-0.021989550383945414,-0.9889239282700256
ATG,0.2548991066319423,1.3190310374724625
AUS,11.37516608836347,5.465221535511684
BEL,8.322886562248327,4.035520177903201
BEN,-0.0011477541795237303,-0.01760438595120892
BES,-0.01279953698864094,-0.9771469364078731
BGD,-0.6454849916489457,-1.8401163915481416
BGR,2.045973679866843,2.6190056406613054
BHR,0.450494146904268,1.170392956860445
BHS,0.8018004423914555,1.3761338128406713
BIH,-0.43470197507883296,-0.7719934904153203
BLZ,0.6067901712563083,1.5751917418192456
BMU,1.048595543750855,1.5874593594074815
BRA,4.432237458093922,2.7685943705075533
BRB,0.8151781128790698,1.9119612275211122
BRN,-0.06745339598504294,-0.27491561319929997
CAN,15.471052425442332,5.798690932334098
CCK,0.010132725978829407,0.9705142268044716
CHL,3.2764244832947442,2.737761087596733
CHN,5.708484621753096,2.4091140172891987
CIV,0.02142980742434264,0.15135707773463283
CMR,0.39404507344039713,1.4748030722531988
COD,-0.10585610013435896,-0.4752374775909377
COG,-0.018755390063573473,-0.1367903277942455
COK,0.03832354744081766,0.9841807319311635
COL,1.2821153818163111,1.5621023002595866
COM,-0.07693521894722431,-0.5283506179524656
CPV,-0.013138878326838159,-0.16283682998647797
CRI,0.058891464807028976,0.0876483732683288
CUB,-0.5539606025257586,-0.5156594196947221
CUW,0.2629353415721199,0.985614433233862
CYM,-0.015830997079809447,-0.09665637052541305
CYP,0.7776285818736612,1.2196952097361293
DEU,18.211889570662116,6.698729479052421
DJI,-0.02633423199803477,-1.3000511866201852
DMA,0.3312122460442349,1.6446224972746115
DNK,6.951353496054037,3.8190082108668997
DOM,-0.23540622966951333,-0.8178654967934503
DZA,0.20871924432260833,1.1027236704343815
ECU,0.3674567294923885,1.3013156491922844
EGY,2.348901275713698,2.4480961165751682
ERI,-0.03546730154411952,-1.5572942063580155
ESP,7.035419201313649,3.5574288684279196
EST,1.3670671185858958,1.7881893533982243
FIN,9.138452593332573,3.635927921941439
FJI,0.1320703669872553,0.9172659249604385
FLK,-0.02366004531664888,-0.987687713796029
FRA,18.878363509900865,6.745348816129302
