Collaborate,coef,t-value
ABW,-0.07699145465967011,-1.1542196542769998
AGO,0.1054481763293416,1.7414951716518297
AIA,0.013937437516577993,0.14028177587481902
ALB,-0.1270064369161485,-1.8837515640420153
ARE,2.2209037207393214,2.1739399829178
ARG,6.949776873892217,3.1927589725969696
ASM,0.012855882658306138,0.9672699529463431
ATF,-0.022981263010530405,-0.9889224957126993
ATG,0.24818585950740513,1.2852063837865872
AUS,11.41532905622441,5.519902230548354
BEL,8.238815286951866,4.046669300197198
BEN,-7.177663856245241e-05,-0.001110483756583848
BES,-0.010807583615395688,-0.9754961032335754
BGD,-0.6478261857136741,-1.8444494491277417
BGR,2.0780637222240292,2.6093123194180645
BHR,0.45126408021545045,1.1846015583214737
BHS,0.8215149640636026,1.4019050511804145
BIH,-0.41891951304181585,-0.7386000280093855
BLZ,0.6033232203784721,1.5808584187117374
BMU,1.0586409867275055,1.5926640516060437
BRA,4.405112955025864,2.786360424404649
BRB,0.826223348616427,1.8954844995969853
BRN,-0.09150618756232128,-0.35586219250685025
CAN,15.537108146857172,5.847782173375551
CCK,0.01036046797749203,0.9708850044322921
CHL,3.350824168485665,2.7490211728835954
CHN,5.952112812194016,2.5215908194299197
CIV,0.01447900967366497,0.0979417226344965
CMR,0.42992979227212663,1.5185706220077564
COD,-0.10331884934291928,-0.4604296292812739
COG,-0.02755840440914408,-0.18686906207061935
COK,0.037754107781919975,0.9837470308365661
COL,1.3561205301057033,1.6410324236160838
COM,-0.07599097362966478,-0.5157466365689818
CPV,-0.012930726928678544,-0.16098544912291263
CRI,0.061875057781226483,0.09254166772634535
CUB,-0.5442817667956633,-0.5085220715149913
CUW,0.2612955296166606,0.9852256384010984
CYM,-0.001083223906548005,-0.00659695145277243
CYP,0.7863855665934251,1.2003147997872077
DEU,18.08928101713565,6.724364181630699
DJI,-0.04351301081340736,-1.3942088418100982
DMA,0.33226198045822847,1.665100064702633
DNK,7.003554597801347,3.837590014524456
DOM,-0.2202935740858246,-0.7835468402259887
DZA,0.1594848025418673,0.7890347587147675
ECU,0.4049496296928201,1.3977667394871496
EGY,2.3685780543598827,2.4229545047969836
ERI,-0.03485815067817109,-1.5575970819190386
ESP,7.103916331966662,3.619181096438231
EST,1.3951195893549697,1.8161780014354512
FIN,9.165502387122519,3.6413743709400364
FJI,0.13035032831548404,0.9037769050533889
FLK,-0.02276234117570179,-0.9874594167030605
FRA,18.91325116755312,6.838413022219634
FRO,-0.05837159659206865,-0.9488207431397859
GAB,0.2650225163312688,1.555345695250925
GBR,17.683897854158207,5.13355246767302
GEO,1.6039223233958888,1.6536353758238114
GGY,-0.018874965680660476,-0.9029996299442882
GHA,0.7156872763545458,2.0542376527979385
GIB,0.05628651551995714,0.24638435698846392
GIN,0.06693522025010924,0.8595136687927405
GLP,0.003567749074702055,0.25179472551754867
GMB,-0.17325756782999518,-0.9702668468426712
GNQ,-0.15975793559450407,-0.6543281166503077
GRC,3.6192053749644923,2.423130425595257
GRD,0.0509264877542193,0.9806518873939926
GRL,0.017461067801423275,0.9840573530271187
GTM,0.3929556645636109,1.3732173721191143
GUF,0.021533603787507,1.346098261318597
GUM,0.10683483090022608,0.9136133221683794
GUY,-0.02194537111305822,-0.2188397563459413
HKG,3.883464714103811,2.0163166435492044
HND,0.31020161572886285,1.7688162821131905
HRV,2.2234559691231888,1.8150369846441372
HTI,-0.03285943517655088,-0.9705686185069919
IDN,3.9344397562178344,2.7192246629985384
IMN,-0.0806139759553256,-1.8681964952464822
IND,5.918577584126625,2.212774982495767
IOT,-0.0877015438926591,-1.3703643513538777
IRL,4.675942011011257,2.958067082706479
IRN,1.000612630497611,1.8053174590970626
IRQ,0.331666049498524,0.7721764569632781
ISL,2.888425346928726,2.220432766117686
ISR,10.458666301525414,4.613778999195892
ITA,11.024811588542873,4.367461531180694
JAM,0.0677515966977986,0.5678391929330076
JEY,-0.2807528032037058,-2.3246196142265094
JOR,1.3102998204654073,1.7020783815746456
JPN,11.233244816181207,5.098755191096504
KEN,0.4183664720601845,0.6026418354491774
KHM,0.15478694869468107,0.6634111307817695
