Contribute,coef,t-value
ABW,0.04611695837268141,0.3677317640461919
AGO,0.11146177467245659,1.7094241743414171
AIA,-0.6339106940805983,-1.7981609011310298
ALB,-0.0360046384490588,-0.9469448176864235
ARE,0.8661935295360744,1.1951558207947934
ARG,3.7199734052280276,2.7135861661916114
ATG,-0.6524542045612833,-0.8290501245413986
AUS,8.766362445533336,4.714600235163361
BEL,6.7138545074004385,3.627356844559979
BEN,0.014330722474290151,0.2219184758284048
BGD,-0.075834224725416,-0.6133627726310621
BGR,1.44881674697695,2.7011437439417643
BHR,0.3591170342971683,1.409804332209192
BHS,2.3522304426593927,2.3023549553734326
BIH,-0.243581629031291,-0.5716415533984032
BLZ,0.5447426951571309,1.6669686869613098
BMU,3.036070654027845,1.6378889258741156
BRA,3.5790181807422505,2.6337766905804547
BRB,1.5717090952151518,1.1015051367418753
BRN,0.09898576197267267,0.4649059331502833
BVT,0.133980786639251,2.1103879202677245
CAN,12.089563801983788,5.884513123297309
CHL,0.5002314431781113,0.6156200389342191
CHN,-0.00904130032923586,-0.005478470968365573
CIV,-0.053941544401397715,-0.3238015073989274
CMR,0.320672992690044,1.53365150934599
COD,-0.18854750771999199,-1.147849334067274
COG,0.06538434138345087,0.5226629146836381
COK,0.28177740009671265,0.8521873191934303
COL,0.7006456871408959,1.0161753724876246
COM,-0.07792038254218434,-0.9202604122421858
CRI,1.1087105711336485,1.77972142208589
CUB,-0.5636828201081769,-0.6370829411616485
CUW,-0.5292211513189403,-1.2075628289691296
CXR,0.04015705869051428,0.9874202348546824
CYM,2.6877329458002035,1.6259723835304263
CYP,3.699862320795016,2.917151893068847
DEU,12.496314482413803,5.386344438563867
DMA,0.3474353735225534,2.1802531526413076
DNK,2.4624870605163403,1.888205999474613
DOM,-0.3412256237013571,-1.3082061075863658
DZA,0.1204834552117869,0.8803091507913902
ECU,0.36043282313678726,1.0116075592506768
EGY,1.89006358560772,2.426179207376736
ERI,-0.014946681502698258,-1.2169844540170482
ESP,5.708035078948159,3.4770977412282402
