Acquisition,coef,t-value
ABW,0.33378623200103963,1.0471395718673084
AGO,-0.027166168449309643,-0.7431109895547061
AIA,-0.18698677746456652,-1.4028149257222884
ALB,0.3480895694411497,1.2641848010886003
ARE,5.018565326425105,2.3492826751435776
ARG,8.69158408004352,2.9964985116172844
ATG,-1.4926678113662402,-2.261037434671732
AUS,12.738195796527748,4.001719417790161
BEL,13.350580839668375,3.6481805087172146
BEN,0.15082713532646752,1.2988926135495105
BGD,0.20740688206030478,0.664450359544814
BGR,5.997025453458561,2.921537012113273
BHR,0.8226702326203027,1.7723823192011496
BHS,5.205801780645067,2.3598722595740393
BIH,3.1308919080005366,2.164550840548289
BLZ,1.1414869872154259,1.823488856908048
BMU,12.722722091259449,2.7955063446948225
BRA,11.785940504150993,3.515478159842699
BRB,8.276234516597421,2.67735734579392
BRN,0.3294853616220008,0.9540763846796714
BVT,0.1382449617997263,1.5165496953886628
CAN,15.317836700135857,3.8959563518673357
CHL,3.0832438597126686,2.6166330434182985
CHN,13.484405732708064,3.666505307807801
CIV,0.1728837532656436,0.6441250129101577
CMR,0.5794861472689273,1.7257247088175014
COD,0.07402940143328719,1.2826719964766617
COG,0.24109568359431996,1.2788254356420181
COK,-0.12955944199207178,-0.5373653025742403
COL,4.270425218715932,2.7369956254815953
COM,-0.055729838561813676,-0.5351824120657648
CRI,3.1845613241604265,2.0203403845687116
CUB,3.0346326154840577,1.8211691953033284
CUW,-0.5980701549152249,-1.927728708718327
CYM,6.88664148640405,2.534674804910581
CYP,9.689592133653331,2.978001675753978
DEU,17.56671036094117,4.21230123329319
DMA,0.021731979366870127,0.5841003621872497
DNK,12.553600815583346,3.750772540346417
DOM,-0.05331090081745272,-0.36403849401646227
DZA,1.6523567695463055,2.5353799114177518
ECU,1.1947220886284131,1.5091850103422004
EGY,6.93850696351692,2.7382358902308943
ERI,-0.011609362918789027,-0.9863492752356494
ESP,14.781434647721307,3.6364492039279934
EST,5.3917731766002,2.9397394749043695
FIN,12.447039661142044,3.6255218868775008
FJI,0.09208409914889155,0.5674758458341819
FLK,0.07195784688634474,0.9875980061427535
FRA,13.30156385331962,3.6415770631631537
FRO,-0.02141752446950149,-0.1255512765274934
GAB,-0.04672882097713906,-0.41866180145148324
GBR,13.951105268497635,3.876862715627722
GEO,4.392662621159787,2.1456803958804804
GGY,-0.035867024958787304,-0.5351495825174551
GHA,0.25324099214139845,1.2596023553124198
GIB,1.2321548876630157,2.1054290904314468
GIN,-0.04656683275619832,-0.2934738265552801
GMB,-0.4910427786273361,-1.8350559878137518
GNQ,0.043388110979440356,0.9878595802929617
GRC,9.191525600056472,3.5578589874346047
GRD,0.03789559241150788,0.9873746354845748
GTM,0.4581132039919795,2.1887238636015645
GUM,0.4942368260153268,1.4677488680932806
GUY,0.02749952141317396,0.34158769635082303
HND,0.23096118430192408,1.1122372209570501
HRV,11.23983266712657,3.163306365095345
HTI,0.19462526500304175,1.4258092302051064
