Spillover,coef,t-value
ARG,-0.73033036246489,-2.6639354791666383
AUS,-0.5066409813493642,-0.3551380286446856
BEL,6.114715616369625,4.170445935384747
BGD,-0.02161729304285836,-0.9887152822454849
BGR,0.29673515196026645,0.8376919293042411
BRA,-2.5408432914675423,-2.9792119698934267
CAN,8.471956248765139,3.7992838934533717
CHL,-0.7106431932834563,-1.1010015965713773
CHN,-18.037174411722997,-5.683065550603064
COL,-0.5015701649912105,-1.374879725672963
CRI,-0.16467730502605568,-1.3916320680998853
CUB,-0.04120286827672583,-0.4448960214950656
DEU,23.98790359042941,7.121233440577243
DNK,-0.7090090835947815,-1.4479385501359465
DOM,-0.009783488459797741,-0.1192258095700661
ECU,-0.03992006008101399,-1.4561241550644832
EGY,-0.25809888892386934,-1.351722298473879
ESP,4.646935159768299,2.0018529585716363
EST,-0.18424960437472637,-1.3284316771610596
FIN,-0.33569834297346884,-0.5475215373029104
FRA,19.469786002794876,6.35843001891679
GBR,22.159295497285896,6.50141139558598
GEO,-0.17805761516869464,-2.721213476525215
GRC,0.33385496894153033,0.5393351504994092
GTM,-0.013555493126076226,-0.986426205250709
HKG,-0.8544081137419262,-1.3949359289041996
HRV,-0.2977846816259909,-2.076473042384734
IDN,-0.19960965586339394,-1.8802609411268545
IND,-5.256530934769553,-4.541071355388984
IRL,1.6651816437279854,3.0014178504013405
IRN,-0.0156930337113194,-1.2618022876934454
ISL,0.0030510586087891278,0.02396918134944174
ISR,-1.1470515570044322,-2.5861269885628015
ITA,-0.6395537346005032,-0.6392425520817454
JPN,19.482609595185668,5.443130120622552
KEN,0.1278828838219761,1.2722071687452075
KOR,-4.750478067540426,-1.3270564292285505
LTU,0.05025686664039095,0.2528114566367022
LVA,0.1957129137667861,0.983828189111938
MAR,-0.24651491068416548,-1.803135232217387
MCO,0.231531466368217,1.6242341876524744
MEX,-1.8470000056052196,-2.588274914406644
MLT,-0.027039500746983487,-0.9883355539358041
MUS,-0.06785897459808461,-0.6458920396608832
MYS,-0.8913096562363437,-2.181965867108503
NCL,-0.02643672686568906,-0.9859210834099718
NIC,-0.011020747659819852,-0.982352861452746
NIU,-0.027039500746983487,-0.9883355539358041
NLD,7.67233558782961,4.643391183804622
NOR,-2.559742966460312,-2.69526908427085
NZL,-0.6143928736639206,-0.8761276174712059
PAK,-0.057400669959884784,-1.390589769959048
PAN,-0.08257536292950308,-1.1076306556607636
PER,-0.07572144301730291,-0.6815580293610105
PHL,-0.5881241198692658,-1.8287174192254425
PLW,-0.00031078445704636607,-0.16583619773686056
POL,-0.37471713584171357,-0.5378191200151637
PRT,-0.23989552418102747,-0.5425616084726232
REU,-0.0187750082125117,-0.9881822387847282
ROU,0.630763220312825,0.7864541622751433
RUS,8.229612454000476,3.258831167005264
SAU,-0.05817514947796842,-0.3687255754681213
SDN,-0.06278377645611033,-0.9883355539358015
SEN,0.40917925272008954,1.27189934984313
SGP,-1.648742969824813,-2.92270404270471
SLE,0.011809198504353134,0.9791780080693955
SLV,0.019902129337527386,0.9757523978923945
STP,-0.022369754778740425,-0.9881913806318882
SVN,-0.15737045112165368,-0.5675340779441186
SWE,0.6713350433799263,0.9262313214060514
SYR,-0.020563410840376502,-0.9881499919947985
THA,-0.08699477339700473,-0.6812731190545759
TLS,-0.032748791722655435,-0.987348243250403
TON,-0.018775008212510984,-0.9881822387847323
TUN,-0.13207218336325427,-1.8709187430262022
TUR,-0.794472896345585,-1.109041289344255
TWN,-6.91125577369958,-5.522242560133591
UKR,-0.8907253842123467,-2.0223091252019754
URY,-0.119023837492382,-1.4600362440510704
USA,30.135187317935547,6.446238959949686
VEN,0.03210587463909394,0.9855499486948304
VNM,-0.26278035531023897,-1.8195041833163246
ZAF,1.4630714764540997,1.8942610209171338
