Acquisition,coef,t-value
ABW,0.3224288605316212,1.0415959648076434
AGO,-0.026911908815357086,-0.7207201895786478
AIA,-0.19805689502499899,-1.423235270988779
ALB,0.3425145582679617,1.257914849293193
ARE,4.931560824213215,2.337692087357207
ARG,8.770200493346536,2.986485693010677
ATG,-1.4815787226045667,-2.274803335677757
AUS,12.860707098333847,4.02025915120376
BEL,13.563504411810436,3.669270169512869
BEN,0.14555216100200186,1.3010243219023572
BGD,0.21453907631895186,0.7656887170454755
BGR,6.049605412313149,2.936336048018897
BHR,0.7952311811434828,1.7665145051972302
BHS,5.277649339060034,2.3894167246406384
BIH,3.077494718984289,2.1680822008459115
BLZ,1.1274107242826967,1.8123821682128087
BMU,12.46811677220575,2.7898484018187397
BRA,11.924864238013745,3.5151891424494583
BRB,8.34538896534732,2.681736831050901
BRN,0.3478797802124532,1.0874597874756167
BVT,0.1424045114743425,1.5132801990059228
CAN,15.672454278465164,3.9212133597471843
CHL,2.996211964057946,2.599386281045302
CHN,13.431218759766779,3.6480142322565343
CIV,0.1760380712128242,0.643265302449216
CMR,0.5952307012778361,1.8005504027801833
COD,0.0695485789584418,1.2855913225285176
COG,0.22997764803733167,1.278925843394357
COK,-0.12944423097926658,-0.5291573437220066
COL,4.24419312463524,2.7185044735900523
COM,-0.05618772252003382,-0.5432856008168351
CRI,3.195735792338134,2.022972918837037
CUB,3.035211308912498,1.8353759003940453
CUW,-0.6160469645454635,-1.9404464301334812
CYM,6.70270187019499,2.5072752440228863
CYP,9.60653063927976,2.9654024439143454
DEU,17.751446688547695,4.229813385742926
DMA,0.025933054327763844,0.6100036670780722
DNK,12.739867933143131,3.7865445396604356
DOM,-0.06580726471286572,-0.4331013072345276
DZA,1.5932541249402579,2.5369024288146242
ECU,1.1803665023829482,1.5635287531194395
EGY,6.828068925669365,2.721845551695555
ERI,-0.011751233868959977,-0.986627230550511
ESP,14.950549395780396,3.644667483463592
EST,5.392019435075054,2.9138983716830578
FIN,12.65139264607832,3.6382343986629473
FJI,0.10631218114758903,0.635600019246906
FLK,0.07046640451718693,0.9876990633685123
FRA,13.462152747857374,3.659847178389667
FRO,-0.0052645856315865595,-0.033231040368925706
GAB,-0.042840724611441186,-0.38846822387023766
GBR,14.234702423557678,3.9226650988319163
GEO,4.43613280184793,2.1544255512733614
GGY,-0.032573422588147306,-0.5208549914077587
GHA,0.2532310760190156,1.2997227543564212
GIB,1.2241887250549486,2.1080452419490987
GIN,-0.062045912498229217,-0.4002462530755783
GMB,-0.48514387898756955,-1.8445541541039745
GNQ,0.04250819719788687,0.9879414526230481
GRC,9.32364168199968,3.5574842152599135
GRD,0.03751701725215032,0.9879700771060466
GTM,0.4572335614490347,2.13868197469503
GUM,0.48263137555532853,1.4701646513646482
GUY,0.024651873443993638,0.3077649299393141
HND,0.23508958380109576,1.1150730367809456
HRV,11.314257521392413,3.1600372554595078
HTI,0.2142490116151029,1.3736292476512497
IDN,3.721716154996786,2.0313876524569396
IMN,-0.33573775350850277,-1.430845143884091
IND,24.042135953273426,3.898092636393216
IRL,13.440815525643282,3.726718534999054
IRN,0.9897928002053934,1.2867020924258394
IRQ,0.4307449619524697,1.631786021959098
ISL,10.13630820089949,3.139391395709935
ISR,18.005785213531077,4.088039535968786
ITA,16.08401619988575,4.081456092701791
JAM,-0.5085179737893336,-1.7031261591590234
JEY,-0.11330535654730627,-1.1290001813787367
JOR,1.8358525491249136,2.104717013004612
JPN,16.32733329898483,4.012035323255662
KEN,2.3443002436328313,2.0109797026294163
KHM,0.25852319828074466,1.7917260408546718
KNA,-0.07607374339060194,-0.48419560994179
KOR,21.577615470485423,4.159920077145782
KWT,0.6137300932389036,1.634259235072084
LBN,3.119599728692977,2.337857041341273
LBR,0.15721574762169835,1.5798253768436137
LBY,0.009629726271221502,0.0861771347428492
LCA,0.040505952836961845,0.9856548155275245
LKA,1.2853395456368033,1.833808282735313
